Apple m1 Pro
1           C   1.000000
2        Java   1.063442
3        Rust   1.159096
4      CSharp   1.578486
5      FSharp   1.704406
6        Lisp   1.823017
7          Go   1.917413
8     Fortran   2.535887
9      Racket   2.695823
10 JavaScript   3.068885
11 TypeScript   4.926715
12      JRuby  11.354958
13     Erlang  16.340037
14        PHP  22.013046
15        Lua  28.688345
16     Python  33.973083
17       Perl  44.114305
