Apple m2 Pro
1           C   1.000000
2        Java   1.341387
3     Fortran   1.539729
4      FSharp   1.544668
5        Lisp   1.658808
6        Rust   1.682545
7      CSharp   1.787325
8          Go   1.939668
9  JavaScript   2.442951
10     Racket   2.679368
11 TypeScript   5.395425
12      JRuby  10.746880
13     Erlang  19.727246
14        PHP  32.272351
15        Lua  43.010446
16     Python  48.142052
17       Perl  62.501132
